Customer ID,Gender,Region,Age,Product Name,Category,Unit Price,Quantity,Total Price,Shipping Fee,Shipping Status,Order Date
CUST0001,Female,East,38,Keyboard,Accessories,50,3,150,6.14,Returned,10-04-2023
CUST0002,Male,East,38,Laptop,Electronics,1500,4,6000,11.28,Returned,26-04-2023
CUST0003,Male,North,23,Headphones,Accessories,100,5,500,12.22,Delivered,18-01-2023
CUST0004,Male,East,23,Smartphone,Electronics,800,1,800,12.64,Returned,10-09-2023
CUST0005,Female,South,23,Keyboard,Accessories,50,5,250,17.96,In Transit,18-08-2023
CUST0006,Male,North,63,Smartphone,Electronics,800,5,4000,11.1,In Transit,06-11-2023
CUST0007,Male,North,63,Mouse,Accessories,30,3,90,9.04,Delivered,14-02-2023
CUST0008,Male,South,63,Smartwatch,Wearables,200,4,800,10.23,In Transit,07-06-2023
CUST0009,Female,West,65,Keyboard,Accessories,50,3,150,19.62,In Transit,06-12-2023
CUST0010,Male,North,65,Monitor,Electronics,300,4,1200,11.14,,03-01-2024
CUST0011,Male,North,65,Keyboard,Accessories,50,5,250,5.92,Returned,04-04-2023
CUST0012,Male,North,65,Monitor,Electronics,300,3,900,9.31,In Transit,14-02-2023
CUST0013,Female,West,65,Smartphone,Electronics,800,5,4000,15.8,Returned,29-12-2023
CUST0014,Female,East,56,Mouse,Accessories,30,2,60,7.58,In Transit,15-02-2023
CUST0015,Male,South,52,Laptop,Electronics,1500,5,7500,19.69,In Transit,17-09-2023
CUST0016,Female,West,52,Monitor,Electronics,300,3,900,5.66,Delivered,18-02-2023
CUST0017,Male,North,52,Smartwatch,Wearables,200,1,200,13.68,Delivered,02-08-2023
CUST0018,Female,East,,Smartwatch,Wearables,200,3,600,13.94,Delivered,07-04-2023
CUST0019,Female,East,52,Headphones,Accessories,100,2,200,18.95,In Transit,24-01-2023
CUST0020,Male,South,52,Smartwatch,Wearables,200,5,1000,13.13,In Transit,15-05-2023
CUST0021,Female,East,52,Headphones,Accessories,100,2,200,12,In Transit,28-10-2023
CUST0022,Male,East,52,Headphones,Accessories,100,3,300,19.53,In Transit,16-01-2023
CUST0023,Female,North,52,Smartwatch,Wearables,200,3,600,15.85,Delivered,10-04-2023
CUST0024,Female,North,,Headphones,Accessories,100,5,500,16.04,Delivered,02-02-2023
CUST0025,Female,North,18,Keyboard,Accessories,50,3,150,13.86,Delivered,29-05-2023
CUST0026,Female,West,18,Mouse,Accessories,30,4,120,8.76,In Transit,30-06-2023
